name,phoneNumber,email,address,userAgent,hexcolor
"Mrs. Etha Rolfson I","(606) 560-6200",mike.ankunding@gmail.com,"71334 Buckridge Orchard
South Bethbury, DC 63822-5596","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/5330 (KHTML, like Gecko) Chrome/38.0.879.0 Mobile Safari/5330",#390f67
"Dr. Vanessa Roob","(572) 948-2886",lesch.savanna@auer.com,"38564 Walton Wells Apt. 368
Bobbiechester, NE 91855","Mozilla/5.0 (compatible; MSIE 10.0; Windows CE; Trident/5.0)",#85d009
"Dr. Eugenia Sauer",471-683-4061,dibbert.kyla@hotmail.com,"785 Cindy Shore Suite 237
Antwonmouth, IL 99854-5283","Mozilla/5.0 (Windows NT 5.1; en-US; rv:1.9.0.20) Gecko/20211213 Firefox/35.0",#ca8819
"Justyn Frami",465.587.9395,junius.bogisich@yahoo.com,"6964 Konopelski Forks
New Eladio, CO 49226","Opera/8.57 (X11; Linux i686; en-US) Presto/2.10.185 Version/11.00",#94effb
"Prof. Isabella Leannon II",+18298942111,hamill.anahi@donnelly.org,"644 Koss Circles Suite 945
New Zander, AZ 29319","Opera/8.23 (Windows NT 6.0; en-US) Presto/2.9.330 Version/11.00",#081f8f
"Madisyn Bednar PhD",+1-595-559-1527,windler.gay@mante.com,"1329 Weston Harbors Apt. 198
New Jaleel, UT 56077-7945","Mozilla/5.0 (Windows NT 6.0) AppleWebKit/5330 (KHTML, like Gecko) Chrome/38.0.832.0 Mobile Safari/5330",#153339
"Mr. Graham Wehner","(790) 664-7369",vbailey@hessel.com,"6469 Hannah Parkway Suite 116
Aufderhartown, WI 80330-4356","Opera/9.94 (X11; Linux i686; en-US) Presto/2.11.182 Version/11.00",#6b0eb1
"Miss Zelma Kris",550.682.9691,king.rafaela@gmail.com,"85171 Marvin Lodge
East Mozelletown, WY 45669","Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 4.0; Trident/4.1)",#bbd68c
"Mrs. Lura Baumbach Sr.",1-296-474-5259,xavier.gerhold@hotmail.com,"9627 Kunde Centers
Marlonhaven, PA 58707-5569","Mozilla/5.0 (X11; Linux i686; rv:7.0) Gecko/20121113 Firefox/36.0",#2c9eb1
"Octavia Crist",701.242.1562,white.micah@olson.com,"82784 Eichmann Point
West Dockfurt, TN 85413-6123","Mozilla/5.0 (X11; Linux i686) AppleWebKit/5352 (KHTML, like Gecko) Chrome/39.0.875.0 Mobile Safari/5352",#d5b00b
"Jaiden Hills","(413) 690-3870",mittie23@bashirian.com,"749 Jakayla Villages
Breannamouth, CA 19589-5522","Mozilla/5.0 (iPad; CPU OS 7_0_1 like Mac OS X; sl-SI) AppleWebKit/532.3.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6532.3.1",#3817d5
"Eveline Mueller","(579) 674-0375",ethel.cormier@gmail.com,"6193 Easton Ranch
West Louisa, DC 06242-4545","Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_2 rv:3.0) Gecko/20170927 Firefox/36.0",#f31f77
"Dr. Kory Borer",414-259-5572,rebecca.raynor@lindgren.info,"86913 Upton Canyon
South Daisy, MA 09034-4399","Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/532.35.1 (KHTML, like Gecko) Version/4.0 Safari/532.35.1",#1846d3
"Wilfredo Kunde",+1-809-784-0637,brielle.collins@price.com,"60003 Stehr Expressway
North Adolfoburgh, AR 72152","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4 rv:5.0; en-US) AppleWebKit/533.14.6 (KHTML, like Gecko) Version/4.0.1 Safari/533.14.6",#411fc0
"Mr. Morris Willms IV",674-686-2711,obie65@hotmail.com,"25730 Connelly Bypass Apt. 718
North Norrisburgh, UT 79579-6405","Opera/8.27 (Windows NT 6.2; en-US) Presto/2.11.164 Version/10.00",#1431a2
"Ms. Chanel Rath Jr.",+13943368834,wmclaughlin@yahoo.com,"654 Lorenz Mews
New Clarachester, CO 05305-8137","Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/531.48.5 (KHTML, like Gecko) Version/4.0.1 Safari/531.48.5",#e91234
"Delia Kuphal PhD",+17567873003,rowan.farrell@mohr.biz,"67683 Pouros Corner Suite 351
North Trent, UT 14446-1527","Opera/9.33 (Windows 95; sl-SI) Presto/2.12.304 Version/11.00",#d9a35e
"Gonzalo Wisoky",+1-754-359-6919,stanton05@halvorson.info,"350 Janie Crescent
South Vito, HI 10968-4370","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5350 (KHTML, like Gecko) Chrome/37.0.875.0 Mobile Safari/5350",#6a5454
"Fern Medhurst",+18047208135,belle.mayert@nikolaus.com,"28593 Cronin Lodge Apt. 452
Graceland, VT 75282","Mozilla/5.0 (Windows NT 6.0) AppleWebKit/5321 (KHTML, like Gecko) Chrome/37.0.801.0 Mobile Safari/5321",#80fe39
